Country,Region,Year,Happiness Rank,Happiness Score,Economy GDP per Capita,Family Social Support,Health Life Expectancy,Freedom to Make Choices,Perceptions of Corruption,Generosity,Dystopia Residual,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020"
Comoros,Sub-Saharan Africa,2016,138,3.956,0.275,0.603,0.3,0.154,0.184,0.183,2.256,869595,850886,1.15
Comoros,Sub-Saharan Africa,2019,142,3.973,0.274,0.757,0.505,0.142,0.078,0.275,,869595,850886,1.15
Comoros,Sub-Saharan Africa,2020,134,4.289,0.416,0.723,0.437,0.181,0.259,0.1,2.173,869595,850886,1.15
Comoros,Sub-Saharan Africa,2021,131,4.289,0.488,0.367,0.279,0.202,0.101,0.241,2.61,869595,850886,1.15
Comoros,Sub-Saharan Africa,2022,116,4.609,0.899,0.476,0.424,0.185,0.125,0.195,2.34,869595,850886,1.15
Congo (Brazzaville),Sub-Saharan Africa,2015,139,3.989,0.679,0.663,0.311,0.415,0.117,0.124,1.681,5518092,5380508,1.957
Congo (Brazzaville),Sub-Saharan Africa,2016,127,4.236,0.771,0.478,0.282,0.379,0.098,0.121,2.17,5518092,5380508,1.957
Congo (Brazzaville),Sub-Saharan Africa,2017,124,4.291,0.809,0.832,0.29,0.435,0.08,0.121,1.724,5518092,5380508,1.957
Congo (Brazzaville),Sub-Saharan Africa,2018,114,4.559,0.682,0.811,0.343,0.514,0.077,0.091,,5518092,5380508,1.957
Congo (Brazzaville),Sub-Saharan Africa,2019,103,4.812,0.673,0.799,0.508,0.372,0.093,0.105,,5518092,5380508,1.957
Congo (Brazzaville),Sub-Saharan Africa,2020,88,5.194,0.634,0.758,0.458,0.387,0.117,0.119,2.723,5518092,5380508,1.957
Congo (Brazzaville),Sub-Saharan Africa,2021,83,5.342,0.518,0.392,0.307,0.381,0.124,0.144,3.476,5518092,5380508,1.957
Costa Rica,Latin America and Caribbean,2015,12,7.226,0.956,1.238,0.86,0.634,0.106,0.255,3.177,5094114,5047561,42.893
Costa Rica,Latin America and Caribbean,2016,14,7.087,1.069,1.022,0.761,0.552,0.105,0.226,3.352,5094114,5047561,42.893
Costa Rica,Latin America and Caribbean,2017,12,7.079,1.11,1.416,0.76,0.58,0.1,0.215,2.899,5094114,5047561,42.893
Costa Rica,Latin America and Caribbean,2018,13,7.072,1.01,1.459,0.817,0.632,0.101,0.143,,5094114,5047561,42.893
Costa Rica,Latin America and Caribbean,2019,12,7.167,1.034,1.441,0.963,0.558,0.093,0.144,,5094114,5047561,42.893
Costa Rica,Latin America and Caribbean,2020,15,7.121,0.981,1.375,0.94,0.645,0.131,0.096,2.953,5094114,5047561,42.893
Costa Rica,Latin America and Caribbean,2021,16,7.069,1.134,0.966,0.722,0.673,0.083,0.105,3.387,5094114,5047561,42.893
Costa Rica,Latin America and Caribbean,2022,23,6.582,1.584,1.054,0.744,0.661,0.102,0.089,2.346,5094114,5047561,42.893
Croatia,Central and Eastern Europe,2015,62,5.759,1.083,0.796,0.788,0.259,0.024,0.054,2.754,4105268,4067500,95.487
Croatia,Central and Eastern Europe,2016,74,5.488,1.186,0.608,0.705,0.239,0.04,0.184,2.525,4105268,4067500,95.487
Croatia,Central and Eastern Europe,2017,77,5.293,1.223,0.968,0.701,0.256,0.043,0.248,1.854,4105268,4067500,95.487
Croatia,Central and Eastern Europe,2018,82,5.321,1.115,1.161,0.737,0.38,0.039,0.12,,4105268,4067500,95.487
Croatia,Central and Eastern Europe,2019,75,5.432,1.155,1.266,0.914,0.296,0.022,0.119,,4105268,4067500,95.487
Croatia,Central and Eastern Europe,2020,79,5.505,1.109,1.311,0.901,0.381,0.114,0.012,1.676,4105268,4067500,95.487
Croatia,Central and Eastern Europe,2021,60,5.882,1.251,1.039,0.703,0.453,0,0.111,2.325,4105268,4067500,95.487
Croatia,Central and Eastern Europe,2022,47,6.125,1.705,1.183,0.709,0.535,0,0.109,1.884,4105268,4067500,95.487
Cyprus,Western Europe,2015,67,5.689,1.208,0.893,0.924,0.407,0.061,0.306,1.889,875899,1198575,13.586
Cyprus,Western Europe,2016,69,5.546,1.319,0.707,0.849,0.295,0.052,0.279,2.45,875899,1198575,13.586
Cyprus,Western Europe,2017,65,5.621,1.356,1.131,0.845,0.355,0.041,0.271,1.621,875899,1198575,13.586
Cyprus,Western Europe,2018,61,5.762,1.229,1.191,0.909,0.423,0.035,0.202,,875899,1198575,13.586
Cyprus,Western Europe,2019,49,6.046,1.263,1.223,1.042,0.406,0.041,0.19,,875899,1198575,13.586
Cyprus,Western Europe,2020,45,6.159,1.213,1.149,1.026,0.459,0.228,0.051,2.32,875899,1198575,13.586
Cyprus,Western Europe,2021,39,6.223,1.377,0.765,0.801,0.464,0.061,0.178,2.578,875899,1198575,13.586
Cyprus,Western Europe,2022,41,6.221,1.815,0.909,0.819,0.448,0.062,0.123,2.44,875899,1198575,13.586
Czech Republic,Central and Eastern Europe,2015,31,6.505,1.179,1.206,0.845,0.464,0.027,0.107,2.678,10708982,10669709,108.133
Czech Republic,Central and Eastern Europe,2016,27,6.596,1.309,1.008,0.764,0.414,0.04,0.099,2.962,10708982,10669709,108.133
Czech Republic,Central and Eastern Europe,2017,23,6.609,1.353,1.434,0.754,0.491,0.037,0.088,2.452,10708982,10669709,108.133
Czech Republic,Central and Eastern Europe,2018,21,6.711,1.233,1.489,0.854,0.543,0.034,0.064,,10708982,10669709,108.133
Czech Republic,Central and Eastern Europe,2019,20,6.852,1.269,1.487,0.92,0.457,0.036,0.046,,10708982,10669709,108.133
Czech Republic,Central and Eastern Europe,2020,19,6.911,1.212,1.405,0.895,0.506,0.046,0.05,2.797,10708982,10669709,108.133
Czech Republic,Central and Eastern Europe,2021,18,6.965,1.37,1.09,0.703,0.58,0.046,0.052,3.124,10708982,10669709,108.133
Denmark,Western Europe,2015,3,7.527,1.325,1.361,0.875,0.649,0.484,0.341,2.492,5792203,5818553,22.409
Denmark,Western Europe,2016,1,7.526,1.442,1.164,0.795,0.579,0.445,0.362,2.739,5792203,5818553,22.409
Denmark,Western Europe,2017,2,7.522,1.482,1.551,0.793,0.626,0.401,0.355,2.314,5792203,5818553,22.409
Denmark,Western Europe,2018,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284,,5792203,5818553,22.409
Denmark,Western Europe,2019,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252,,5792203,5818553,22.409
Denmark,Western Europe,2020,2,7.646,1.327,1.503,0.979,0.665,0.243,0.495,2.433,5792203,5818553,22.409
Denmark,Western Europe,2021,2,7.62,1.502,1.108,0.763,0.686,0.485,0.208,2.868,5792203,5818553,22.409
Denmark,Western Europe,2022,2,7.636,1.953,1.243,0.777,0.719,0.532,0.188,2.226,5792203,5818553,22.409
Dominican Republic,Latin America and Caribbean,2015,98,4.885,0.895,1.172,0.668,0.577,0.142,0.217,1.213,10847904,10738958,22.253
Dominican Republic,Latin America and Caribbean,2016,89,5.155,1.028,0.995,0.577,0.523,0.124,0.213,1.696,10847904,10738958,22.253
Dominican Republic,Latin America and Caribbean,2017,86,5.23,1.079,1.402,0.575,0.553,0.114,0.187,1.319,10847904,10738958,22.253
Dominican Republic,Latin America and Caribbean,2018,83,5.302,0.982,1.441,0.614,0.578,0.106,0.12,,10847904,10738958,22.253
Dominican Republic,Latin America and Caribbean,2019,77,5.425,1.015,1.401,0.779,0.497,0.101,0.113,,10847904,10738958,22.253
Dominican Republic,Latin America and Caribbean,2020,68,5.689,0.983,1.329,0.742,0.563,0.112,0.116,1.844,10847904,10738958,22.253
Dominican Republic,Latin America and Caribbean,2021,73,5.545,1.106,0.879,0.555,0.581,0.144,0.101,2.178,10847904,10738958,22.253
Dominican Republic,Latin America and Caribbean,2022,69,5.737,1.538,1.003,0.577,0.606,0.179,0.084,1.751,10847904,10738958,22.253
Ecuador,Latin America and Caribbean,2015,48,5.975,0.864,0.999,0.791,0.486,0.181,0.115,2.539,17643060,17373662,79.544
Ecuador,Latin America and Caribbean,2016,51,5.976,0.973,0.86,0.686,0.403,0.18,0.101,2.774,17643060,17373662,79.544
Ecuador,Latin America and Caribbean,2017,44,6.008,1.001,1.286,0.686,0.455,0.14,0.15,2.29,17643060,17373662,79.544
Ecuador,Latin America and Caribbean,2018,48,5.973,0.889,1.33,0.736,0.556,0.12,0.114,,17643060,17373662,79.544
Ecuador,Latin America and Caribbean,2019,50,6.028,0.912,1.312,0.868,0.498,0.087,0.126,,17643060,17373662,79.544
Ecuador,Latin America and Caribbean,2020,58,5.925,0.853,1.221,0.839,0.555,0.115,0.087,2.255,17643060,17373662,79.544
Ecuador,Latin America and Caribbean,2021,66,5.764,0.935,0.806,0.64,0.56,0.062,0.107,2.653,17643060,17373662,79.544
Ecuador,Latin America and Caribbean,2022,76,5.533,1.352,0.879,0.708,0.565,0.083,0.08,1.866,17643060,17373662,79.544
Egypt,Middle East and North Africa,2015,135,4.194,0.882,0.747,0.617,0.173,0.063,0.113,1.599,102334403,100388073,7.457
Egypt,Middle East and North Africa,2016,120,4.362,0.954,0.498,0.521,0.188,0.104,0.127,1.969,102334403,100388073,7.457
Egypt,Middle East and North Africa,2017,104,4.735,0.99,0.997,0.52,0.282,0.114,0.129,1.72,102334403,100388073,7.457
Egypt,Middle East and North Africa,2018,122,4.419,0.885,1.025,0.553,0.312,0.107,0.092,,102334403,100388073,7.457
Egypt,Middle East and North Africa,2019,137,4.166,0.913,1.039,0.644,0.241,0.067,0.076,,102334403,100388073,7.457
Egypt,Middle East and North Africa,2020,138,4.151,0.875,0.983,0.597,0.374,0.069,0.095,1.159,102334403,100388073,7.457
Egypt,Middle East and North Africa,2021,132,4.283,0.954,0.647,0.426,0.446,0.092,0.069,1.648,102334403,100388073,7.457
Egypt,Middle East and North Africa,2022,129,4.288,1.388,0.732,0.548,0.469,0.254,0.041,0.856,102334403,100388073,7.457
El Salvador,Latin America and Caribbean,2015,42,6.13,0.765,1.025,0.677,0.404,0.118,0.107,3.35,6486201,6453553,20.459
El Salvador,Latin America and Caribbean,2016,46,6.068,0.874,0.81,0.596,0.373,0.106,0.089,3.221,6486201,6453553,20.459
El Salvador,Latin America and Caribbean,2017,45,6.003,0.91,1.182,0.596,0.432,0.09,0.078,2.715,6486201,6453553,20.459
El Salvador,Latin America and Caribbean,2018,40,6.167,0.806,1.231,0.639,0.461,0.082,0.065,,6486201,6453553,20.459
El Salvador,Latin America and Caribbean,2019,35,6.253,0.794,1.242,0.789,0.43,0.074,0.093,,6486201,6453553,20.459
El Salvador,Latin America and Caribbean,2020,34,6.348,0.749,1.149,0.753,0.524,0.119,0.117,2.937,6486201,6453553,20.459
El Salvador,Latin America and Caribbean,2021,49,6.061,0.845,0.675,0.565,0.615,0.16,0.116,3.85,6486201,6453553,20.459
El Salvador,Latin America and Caribbean,2022,49,6.12,1.265,0.768,0.607,0.666,0.212,0.089,2.514,6486201,6453553,20.459
Estonia,Central and Eastern Europe,2015,73,5.429,1.152,1.228,0.774,0.449,0.152,0.087,1.588,1326539,1326590,17.263
Estonia,Central and Eastern Europe,2016,72,5.517,1.28,1.052,0.681,0.415,0.185,0.084,1.82,1326539,1326590,17.263
Estonia,Central and Eastern Europe,2017,66,5.611,1.321,1.477,0.695,0.479,0.183,0.099,1.358,1326539,1326590,17.263
Estonia,Central and Eastern Europe,2018,63,5.739,1.2,1.532,0.737,0.553,0.174,0.086,,1326539,1326590,17.263
Estonia,Central and Eastern Europe,2019,55,5.893,1.237,1.528,0.874,0.495,0.161,0.103,,1326539,1326590,17.263
Estonia,Central and Eastern Europe,2020,51,6.022,1.192,1.453,0.843,0.577,0.125,0.202,1.63,1326539,1326590,17.263
Estonia,Central and Eastern Europe,2021,40,6.189,1.344,1.079,0.64,0.641,0.263,0.119,2.13,1326539,1326590,17.263
Estonia,Central and Eastern Europe,2022,36,6.341,1.793,1.232,0.728,0.689,0.333,0.123,1.442,1326539,1326590,17.263
Ethiopia,Sub-Saharan Africa,2015,122,4.512,0.191,0.604,0.441,0.435,0.15,0.243,2.449,114963583,112078730,1.673
Ethiopia,Sub-Saharan Africa,2016,115,4.508,0.293,0.379,0.346,0.367,0.172,0.295,2.656,114963583,112078730,1.673
Ethiopia,Sub-Saharan Africa,2017,119,4.46,0.339,0.865,0.353,0.409,0.165,0.313,2.16,114963583,112078730,1.673
Ethiopia,Sub-Saharan Africa,2018,127,4.35,0.308,0.95,0.391,0.452,0.146,0.22,,114963583,112078730,1.673
Ethiopia,Sub-Saharan Africa,2019,134,4.286,0.336,1.033,0.532,0.344,0.1,0.209,,114963583,112078730,1.673
Ethiopia,Sub-Saharan Africa,2020,136,4.186,0.315,1.001,0.484,0.413,0.228,0.117,1.628,114963583,112078730,1.673
Ethiopia,Sub-Saharan Africa,2021,133,4.275,0.37,0.679,0.331,0.451,0.114,0.241,2.89,114963583,112078730,1.673
Ethiopia,Sub-Saharan Africa,2022,131,4.241,0.788,0.809,0.457,0.472,0.136,0.205,1.375,114963583,112078730,1.673
Finland,Western Europe,2015,6,7.406,1.29,1.318,0.889,0.642,0.414,0.234,2.62,5540718,5520314,10.125
Finland,Western Europe,2016,5,7.413,1.406,1.135,0.811,0.571,0.41,0.255,2.826,5540718,5520314,10.125
Finland,Western Europe,2017,5,7.469,1.444,1.54,0.809,0.618,0.383,0.245,2.43,5540718,5520314,10.125
Finland,Western Europe,2018,1,7.632,1.305,1.592,0.874,0.681,0.393,0.202,,5540718,5520314,10.125
Finland,Western Europe,2019,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153,,5540718,5520314,10.125
Finland,Western Europe,2020,1,7.809,1.285,1.5,0.961,0.662,0.16,0.478,2.763,5540718,5520314,10.125
Finland,Western Europe,2021,1,7.842,1.446,1.106,0.741,0.691,0.481,0.124,3.253,5540718,5520314,10.125
Finland,Western Europe,2022,1,7.821,1.892,1.258,0.775,0.736,0.534,0.109,2.518,5540718,5520314,10.125
France,Western Europe,2015,29,6.575,1.278,1.26,0.946,0.55,0.206,0.123,2.211,65273512,67059887,99.212
France,Western Europe,2016,32,6.478,1.395,1.005,0.838,0.466,0.178,0.122,2.474,65273512,67059887,99.212
France,Western Europe,2017,31,6.442,1.431,1.388,0.844,0.47,0.173,0.13,2.6,65273512,67059887,99.212
France,Western Europe,2018,23,6.489,1.293,1.466,0.908,0.52,0.176,0.098,,65273512,67059887,99.212
France,Western Europe,2019,24,6.592,1.324,1.472,1.045,0.436,0.183,0.111,,65273512,67059887,99.212
France,Western Europe,2020,23,6.664,1.268,1.459,1.03,0.514,0.113,0.227,2.53,65273512,67059887,99.212
France,Western Europe,2021,21,6.69,1.421,1.081,0.804,0.536,0.235,0.092,2.521,65273512,67059887,99.212
France,Western Europe,2022,20,6.687,1.863,1.219,0.808,0.567,0.266,0.07,1.895,65273512,67059887,99.212
Gabon,Sub-Saharan Africa,2015,143,3.896,1.06,0.905,0.434,0.319,0.111,0.068,0.999,2225728,2172579,2.875
Gabon,Sub-Saharan Africa,2016,134,4.121,1.159,0.724,0.349,0.281,0.093,0.062,1.453,2225728,2172579,2.875
Gabon,Sub-Saharan Africa,2017,118,4.465,1.198,1.156,0.357,0.312,0.076,0.044,1.323,2225728,2172579,2.875
Gabon,Sub-Saharan Africa,2018,103,4.758,1.036,1.164,0.404,0.356,0.052,0.032,,2225728,2172579,2.875
Gabon,Sub-Saharan Africa,2019,104,4.799,1.057,1.183,0.571,0.295,0.055,0.043,,2225728,2172579,2.875
Gabon,Sub-Saharan Africa,2020,108,4.829,0.988,1.106,0.523,0.369,0.052,0.056,1.735,2225728,2172579,2.875
Gabon,Sub-Saharan Africa,2021,112,4.852,1.037,0.707,0.362,0.424,0.064,0.058,2.21,2225728,2172579,2.875
Gabon,Sub-Saharan Africa,2022,106,4.958,1.459,0.738,0.396,0.343,0.099,0.032,1.892,2225728,2172579,2.875
Gambia,Sub-Saharan Africa,2019,120,4.516,0.308,0.939,0.428,0.382,0.167,0.269,,2416664,2347706,5.131
Gambia,Sub-Saharan Africa,2020,113,4.751,0.257,0.883,0.353,0.403,0.426,0.158,2.27,2416664,2347706,5.131
Gambia,Sub-Saharan Africa,2021,98,5.051,0.367,0.511,0.21,0.384,0.123,0.465,2.99,2416664,2347706,5.131
Gambia,Sub-Saharan Africa,2022,93,5.164,0.785,0.621,0.369,0.367,0.103,0.388,2.531,2416664,2347706,5.131
Georgia,Commonwealth of Independent States,2015,130,4.297,0.742,0.386,0.729,0.406,0.383,0.055,1.595,3989175,3720382,62.795
Georgia,Commonwealth of Independent States,2016,126,4.252,0.838,0.192,0.64,0.325,0.319,0.068,1.87,3989175,3720382,62.795
Georgia,Commonwealth of Independent States,2017,125,4.286,0.951,0.571,0.65,0.309,0.252,0.054,1.5,3989175,3720382,62.795
Georgia,Commonwealth of Independent States,2018,128,4.34,0.853,0.592,0.643,0.375,0.215,0.038,,3989175,3720382,62.795
Georgia,Commonwealth of Independent States,2019,119,4.519,0.886,0.666,0.752,0.346,0.164,0.043,,3989175,3720382,62.795
Georgia,Commonwealth of Independent States,2020,117,4.673,0.847,0.731,0.695,0.485,0.048,0.174,1.692,3989175,3720382,62.795
Georgia,Commonwealth of Independent States,2021,108,4.891,1.03,0.47,0.498,0.488,0.181,0.032,2.191,3989175,3720382,62.795
Georgia,Commonwealth of Independent States,2022,105,4.973,1.467,0.612,0.595,0.508,0.208,0,1.583,3989175,3720382,62.795
Germany,Western Europe,2015,26,6.75,1.328,1.299,0.892,0.615,0.218,0.282,2.116,83783945,83132799,40.331
Germany,Western Europe,2016,16,6.994,1.448,1.098,0.815,0.535,0.286,0.305,2.59,83783945,83132799,40.331
Germany,Western Europe,2017,16,6.951,1.488,1.473,0.799,0.563,0.277,0.336,2.16,83783945,83132799,40.331
Germany,Western Europe,2018,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273,,83783945,83132799,40.331
Germany,Western Europe,2019,17,6.985,1.373,1.454,0.987,0.495,0.265,0.261,,83783945,83132799,40.331
Germany,Western Europe,2020,17,7.076,1.314,1.369,0.972,0.564,0.252,0.309,2.295,83783945,83132799,40.331
Germany,Western Europe,2021,13,7.155,1.48,0.993,0.757,0.6,0.306,0.195,2.824,83783945,83132799,40.331
Germany,Western Europe,2022,14,7.034,1.924,1.088,0.776,0.585,0.358,0.163,2.142,83783945,83132799,40.331
Ghana,Sub-Saharan Africa,2015,114,4.633,0.546,0.68,0.401,0.423,0.044,0.231,2.39,31072945,30417856,1.078
Ghana,Sub-Saharan Africa,2016,124,4.276,0.631,0.494,0.297,0.41,0.033,0.212,2.2,31072945,30417856,1.078
Ghana,Sub-Saharan Africa,2017,131,4.12,0.667,0.874,0.296,0.423,0.025,0.257,1.578,31072945,30417856,1.078
Ghana,Sub-Saharan Africa,2018,108,4.657,0.592,0.896,0.337,0.499,0.029,0.212,,31072945,30417856,1.078
Ghana,Sub-Saharan Africa,2019,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245,,31072945,30417856,1.078
Ghana,Sub-Saharan Africa,2020,91,5.148,0.576,0.966,0.432,0.477,0.261,0.057,2.378,31072945,30417856,1.078
Ghana,Sub-Saharan Africa,2021,95,5.088,0.68,0.595,0.287,0.517,0.058,0.268,2.684,31072945,30417856,1.078
Ghana,Sub-Saharan Africa,2022,111,4.872,1.112,0.595,0.409,0.5,0.056,0.23,1.972,31072945,30417856,1.078
Greece,Western Europe,2015,102,4.857,1.154,0.929,0.882,0.077,0.014,0,1.81,10423056,10716322,46.416
Greece,Western Europe,2016,99,5.033,1.249,0.755,0.8,0.058,0.041,0,2.129,10423056,10716322,46.416
Greece,Western Europe,2017,87,5.227,1.289,1.239,0.81,0.096,0.043,0,1.749,10423056,10716322,46.416
Greece,Western Europe,2018,79,5.358,1.154,1.202,0.879,0.131,0.044,0,,10423056,10716322,46.416
Greece,Western Europe,2019,82,5.287,1.181,1.156,0.999,0.067,0.034,0,,10423056,10716322,46.416
Greece,Western Europe,2020,77,5.515,1.128,1.169,0.979,0.174,0,0.049,2.16,10423056,10716322,46.416
Greece,Western Europe,2021,68,5.723,1.273,0.811,0.76,0.243,0.074,0,2.561,10423056,10716322,46.416
Greece,Western Europe,2022,58,5.948,1.703,0.98,0.774,0.249,0.108,0.015,2.119,10423056,10716322,46.416
Guatemala,Latin America and Caribbean,2015,43,6.123,0.746,1.044,0.644,0.577,0.095,0.275,2.743,17915567,16604026,26.865
Guatemala,Latin America and Caribbean,2016,39,6.324,0.835,0.871,0.54,0.504,0.087,0.288,3.199,17915567,16604026,26.865
Guatemala,Latin America and Caribbean,2017,29,6.454,0.872,1.256,0.54,0.531,0.077,0.283,2.894,17915567,16604026,26.865
Guatemala,Latin America and Caribbean,2018,30,6.382,0.781,1.268,0.608,0.604,0.071,0.179,,17915567,16604026,26.865
Guatemala,Latin America and Caribbean,2019,27,6.436,0.8,1.269,0.746,0.535,0.078,0.175,,17915567,16604026,26.865
Guatemala,Latin America and Caribbean,2020,29,6.399,0.754,1.174,0.706,0.613,0.171,0.098,2.883,17915567,16604026,26.865
Guatemala,Latin America and Caribbean,2021,30,6.435,0.845,0.79,0.519,0.638,0.105,0.163,3.375,17915567,16604026,26.865
Guatemala,Latin America and Caribbean,2022,39,6.262,1.274,0.831,0.522,0.662,0.115,0.112,2.746,17915567,16604026,26.865
Guinea,Sub-Saharan Africa,2015,150,3.656,0.174,0.465,0.24,0.377,0.121,0.287,1.992,13132792,12771246,0.617
Guinea,Sub-Saharan Africa,2016,151,3.607,0.224,0.311,0.188,0.31,0.119,0.299,2.156,13132792,12771246,0.617
Guinea,Sub-Saharan Africa,2017,149,3.507,0.245,0.791,0.194,0.349,0.111,0.265,1.552,13132792,12771246,0.617
Guinea,Sub-Saharan Africa,2018,140,3.964,0.344,0.792,0.211,0.394,0.094,0.185,,13132792,12771246,0.617
Guinea,Sub-Saharan Africa,2019,118,4.534,0.38,0.829,0.375,0.332,0.086,0.207,,13132792,12771246,0.617
Guinea,Sub-Saharan Africa,2020,102,4.949,0.39,0.751,0.334,0.372,0.249,0.112,2.741,13132792,12771246,0.617
Guinea,Sub-Saharan Africa,2021,102,4.984,0.42,0.399,0.206,0.384,0.111,0.25,3.216,13132792,12771246,0.617
Guinea,Sub-Saharan Africa,2022,109,4.891,0.848,0.566,0.275,0.334,0.116,0.214,2.538,13132792,12771246,0.617
Haiti,Latin America and Caribbean,2015,119,4.518,0.267,0.743,0.388,0.244,0.172,0.462,2.242,11402533,11263077,2.07
Haiti,Latin America and Caribbean,2016,136,4.028,0.341,0.296,0.275,0.121,0.145,0.48,2.371,11402533,11263077,2.07
Haiti,Latin America and Caribbean,2017,145,3.603,0.369,0.64,0.277,0.03,0.1,0.489,1.697,11402533,11263077,2.07
Haiti,Latin America and Caribbean,2018,148,3.582,0.315,0.714,0.289,0.025,0.104,0.392,,11402533,11263077,2.07
Haiti,Latin America and Caribbean,2019,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419,,11402533,11263077,2.07
Haiti,Latin America and Caribbean,2020,142,3.721,0.285,0.647,0.374,0.169,0.464,0.162,1.62,11402533,11263077,2.07
Haiti,Latin America and Caribbean,2021,143,3.615,0.294,0.173,0.227,0.257,0.139,0.463,2.6,11402533,11263077,2.07
Honduras,Latin America and Caribbean,2015,105,4.788,0.595,0.953,0.695,0.401,0.068,0.23,1.844,9904608,9588000,31.602
Honduras,Latin America and Caribbean,2016,104,4.871,0.694,0.756,0.584,0.268,0.069,0.204,2.296,9904608,9588000,31.602
Honduras,Latin America and Caribbean,2017,91,5.181,0.731,1.144,0.583,0.348,0.073,0.236,2.66,9904608,9588000,31.602
Honduras,Latin America and Caribbean,2018,72,5.504,0.62,1.205,0.622,0.459,0.074,0.197,,9904608,9588000,31.602
Honduras,Latin America and Caribbean,2019,59,5.86,0.642,1.236,0.828,0.507,0.078,0.246,,9904608,9588000,31.602
Honduras,Latin America and Caribbean,2020,56,5.953,0.599,1.187,0.792,0.568,0.257,0.087,2.464,9904608,9588000,31.602
Honduras,Latin America and Caribbean,2021,59,5.919,0.703,0.787,0.593,0.578,0.083,0.241,2.934,9904608,9588000,31.602
Honduras,Latin America and Caribbean,2022,55,6.022,1.111,0.885,0.555,0.582,0.076,0.202,2.611,9904608,9588000,31.602
Hong Kong S.A.R. of China,East Asia,2020,78,5.51,1.377,1.244,1.137,0.459,0.288,0.332,0.673,7496988,7451000,1.974
Hong Kong S.A.R. of China,East Asia,2021,77,5.477,1.525,0.841,0.893,0.408,0.342,0.232,1.236,7496988,7451000,1.974
Hong Kong S.A.R. of China,East Asia,2022,81,5.425,1.957,0.954,0.942,0.4,0.383,0.147,0.642,7496988,7451000,1.974
Hungary,Central and Eastern Europe,2015,104,4.8,1.121,1.202,0.759,0.321,0.028,0.128,1.241,9660350,9769949,98.723
Hungary,Central and Eastern Europe,2016,91,5.145,1.241,0.932,0.676,0.198,0.045,0.099,1.955,9660350,9769949,98.723
Hungary,Central and Eastern Europe,2017,75,5.324,1.286,1.343,0.688,0.176,0.037,0.078,1.716,9660350,9769949,98.723
Hungary,Central and Eastern Europe,2018,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,,9660350,9769949,98.723
Hungary,Central and Eastern Europe,2019,62,5.758,1.201,1.41,0.828,0.199,0.02,0.081,,9660350,9769949,98.723
Hungary,Central and Eastern Europe,2020,53,6,1.164,1.423,0.807,0.386,0.07,0.028,2.122,9660350,9769949,98.723
Hungary,Central and Eastern Europe,2021,53,5.992,1.301,1.083,0.615,0.454,0.04,0.067,2.432,9660350,9769949,98.723
Hungary,Central and Eastern Europe,2022,51,6.086,1.748,1.233,0.668,0.485,0.064,0.078,1.812,9660350,9769949,98.723
Iceland,Western Europe,2015,2,7.561,1.302,1.402,0.948,0.629,0.141,0.436,2.72,341250,361313,8.498
Iceland,Western Europe,2016,3,7.501,1.427,1.183,0.867,0.566,0.15,0.477,2.831,341250,361313,8.498
Iceland,Western Europe,2017,3,7.504,1.481,1.611,0.834,0.627,0.154,0.476,2.323,341250,361313,8.498
Iceland,Western Europe,2018,4,7.495,1.343,1.644,0.914,0.677,0.138,0.353,,341250,361313,8.498
Iceland,Western Europe,2019,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354,,341250,361313,8.498
Iceland,Western Europe,2020,4,7.504,1.327,1.548,1.001,0.662,0.362,0.145,2.461,341250,361313,8.498
Iceland,Western Europe,2021,4,7.554,1.482,1.172,0.772,0.698,0.17,0.293,2.967,341250,361313,8.498
Iceland,Western Europe,2022,3,7.557,1.936,1.32,0.803,0.718,0.191,0.27,2.32,341250,361313,8.498
India,South Asia,2015,117,4.565,0.645,0.382,0.515,0.398,0.085,0.265,2.275,1380004385,1366417754,10.778
India,South Asia,2016,118,4.404,0.74,0.292,0.451,0.403,0.087,0.25,2.18,1380004385,1366417754,10.778
India,South Asia,2017,122,4.315,0.792,0.754,0.455,0.47,0.092,0.232,1.519,1380004385,1366417754,10.778
India,South Asia,2018,133,4.19,0.721,0.747,0.485,0.539,0.093,0.172,,1380004385,1366417754,10.778
India,South Asia,2019,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2,,1380004385,1366417754,10.778
India,South Asia,2020,144,3.573,0.731,0.644,0.541,0.581,0.237,0.106,0.734,1380004385,1366417754,10.778
India,South Asia,2021,139,3.819,0.741,0.316,0.383,0.622,0.106,0.246,1.45,1380004385,1366417754,10.778
India,South Asia,2022,136,3.777,1.167,0.376,0.471,0.647,0.123,0.198,0.795,1380004385,1366417754,10.778
Indonesia,Southeast Asia,2015,74,5.399,0.828,1.087,0.638,0.466,0,0.515,1.864,273523621,270625568,8.094
Indonesia,Southeast Asia,2016,79,5.314,0.951,0.876,0.494,0.392,0.003,0.565,2.32,273523621,270625568,8.094
